"Rule","Section","Conditions","Match Type","Actions","Comments"
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.prop70 with prop70",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.prop71 with prop71",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.prop75 with prop75",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.evar148 with evar148",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.evar149 with evar149",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.evar50 with evar50",""
"1","CFS Insurance, Credit Cars, Personal Loans - Set Context Data","if user_server equals any of (general-insurance.coles.com.au, stg.general-insurance.coles.com.au, pet-insurance.coles.com.au, coles-pet-insurance.guildinsurance.com.au, www.secure.coles.com.au)","","overwrite value of contextdata.cfs.temp.evar150 with evar150",""
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop2","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop3","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
"2","Global - Clear Collision Props","if user_server notequals any of (shop.coles.com.au, wcsprdext.cmltd.net.au, wcssitext.coles.com.au, wcssitext.cmltd.net.au, wcssitint.cmltd.net.au, wcssvt.coles.com.au, wcssvtext.cmltd.net.au, wcssvtint.cmltd.net.au, wcssvtsc.cmltd.net.au, colesgroupprofile.com.au, www.colesgroupprofile.com.au, auth.colesgroupprofile.com.au, id.colesgroupprofile.com.au) AND if contextdata.a.appid notstartswith any of (Coles 3, Shopmate 3, Coles 4, Coles 5, Coles 6, ColesiOS, Coles Debug, ColesExpress, Coles Express) AND if evar22 notequals any of (Swiftshop, Coles.com.au, Coles App, Coles App Web View, Coles Express App Web View, Coles Central Profile, Coles Web, Coles Best Buys, Coles For Business, CUSP)","All","delete value of prop4","[2022-11-09] Joris de Beer Updated a.appId rules for Coles 6+"
